TAX,CRIM,INDUS,AGE,PTRATIO,LSTAT,DIS,RM,NOX,B,MEDV
398,0.08707,12.83,45.8,18.7,10.27,4.0905,6.14,0.437,386.96,20.8
398,0.05646,12.83,53.7,18.7,12.34,5.0141,6.232,0.437,386.4,21.2
281,0.04113,4.86,33.5,19.0,5.29,5.4007,6.727,0.426,396.9,28.0
281,0.04462,4.86,70.4,19.0,7.22,5.4007,6.619,0.426,395.63,23.9
281,0.03659,4.86,32.2,19.0,6.72,5.4007,6.302,0.426,396.9,24.8
281,0.03551,4.86,46.7,19.0,7.51,5.4007,6.167,0.426,390.64,22.9
247,0.05059,4.49,48.0,18.5,9.62,4.7794,6.389,0.449,396.9,23.9
247,0.05735,4.49,56.1,18.5,6.53,4.4377,6.63,0.449,392.3,26.6
247,0.05188,4.49,45.1,18.5,12.86,4.4272,6.015,0.449,395.99,22.5
270,0.0566,3.41,86.3,17.8,5.5,3.4217,7.007,0.489,396.9,23.6
270,0.05302,3.41,63.1,17.8,5.7,3.4145,7.079,0.489,396.06,28.7
270,0.04684,3.41,66.1,17.8,8.81,3.0923,6.417,0.489,392.18,22.6
270,0.03932,3.41,73.9,17.8,8.2,3.0921,6.405,0.489,393.55,22.0
270,0.02875,15.04,28.9,18.2,6.21,3.6659,6.211,0.464,396.33,25.0
270,0.04294,15.04,77.3,18.2,10.59,3.615,6.249,0.464,396.9,20.6
276,0.12204,2.89,57.8,18.0,6.65,3.4952,6.625,0.445,357.98,28.4
276,0.11504,2.89,69.6,18.0,11.34,3.4952,6.163,0.445,391.83,21.4
276,0.12083,2.89,76.0,18.0,4.21,3.4952,8.069,0.445,396.9,38.7
276,0.08187,2.89,36.9,18.0,3.57,3.4952,7.82,0.445,393.53,43.8
276,0.0686,2.89,62.5,18.0,6.19,3.4952,7.416,0.445,396.9,33.2
384,0.14866,8.56,79.9,20.9,9.42,2.7778,6.727,0.52,394.76,27.5
384,0.11432,8.56,71.3,20.9,7.67,2.8561,6.781,0.52,395.58,26.5
384,0.22876,8.56,85.4,20.9,10.63,2.7147,6.405,0.52,70.8,18.6
384,0.1396,8.56,90.0,20.9,12.33,2.421,6.167,0.52,392.69,20.1
384,0.13262,8.56,96.7,20.9,16.47,2.1069,5.851,0.52,394.05,19.5
384,0.1712,8.56,91.9,20.9,18.66,2.211,5.836,0.52,395.67,19.5
384,0.13117,8.56,85.2,20.9,14.09,2.1224,6.127,0.52,387.69,20.4
384,0.12802,8.56,97.1,20.9,12.27,2.4329,6.474,0.52,395.24,19.8
384,0.26363,8.56,91.2,20.9,15.55,2.5451,6.229,0.52,391.23,19.4
384,0.10793,8.56,54.4,20.9,13.0,2.7778,6.195,0.52,393.49,21.7
432,0.10084,10.01,81.6,17.8,10.16,2.6775,6.715,0.547,395.59,22.8
432,0.12329,10.01,92.9,17.8,16.21,2.3534,5.913,0.547,394.95,18.8
432,0.22212,10.01,95.4,17.8,17.09,2.548,6.092,0.547,396.9,18.7
432,0.14231,10.01,84.2,17.8,10.45,2.2565,6.254,0.547,388.74,18.5
432,0.15098,10.01,82.6,17.8,10.3,2.7474,6.021,0.547,394.51,19.2
188,0.06899,25.65,69.7,19.1,14.37,2.2577,5.87,0.581,389.15,22.0
188,0.07165,25.65,84.1,19.1,14.27,2.1974,6.004,0.581,377.67,20.3
188,0.09299,25.65,92.9,19.1,17.93,2.0869,5.961,0.581,378.09,20.5
188,0.09849,25.65,95.8,19.1,17.58,2.0063,5.879,0.581,379.38,18.8
188,0.16902,25.65,88.4,19.1,14.81,1.9929,5.986,0.581,385.02,21.4
437,0.25915,21.89,96.0,21.2,17.19,1.7883,5.693,0.624,392.11,16.2
437,0.32543,21.89,98.8,21.2,15.39,1.8125,6.431,0.624,396.9,18.0
437,0.88125,21.89,94.7,21.2,18.34,1.9799,5.637,0.624,396.9,14.3
437,0.34006,21.89,98.9,21.2,12.6,2.1185,6.458,0.624,395.04,19.2
437,1.19294,21.89,97.7,21.2,12.26,2.271,6.326,0.624,396.9,19.6
437,0.59005,21.89,97.9,21.2,11.12,2.3274,6.372,0.624,385.76,23.0
437,0.97617,21.89,98.4,21.2,17.31,2.346,5.757,0.624,262.76,15.6
437,0.55778,21.89,98.2,21.2,16.96,2.1107,6.335,0.624,394.67,18.1
437,0.32264,21.89,93.5,21.2,16.9,1.9669,5.942,0.624,378.25,17.4
437,0.35233,21.89,98.4,21.2,14.59,1.8498,6.454,0.624,394.08,17.1
437,0.54452,21.89,97.9,21.2,18.46,1.6687,6.151,0.624,396.9,17.8
437,0.2909,21.89,93.6,21.2,24.16,1.6119,6.174,0.624,388.08,14.0
437,1.62864,21.89,100.0,21.2,34.41,1.4394,5.019,0.624,396.9,14.4
403,3.32105,19.58,100.0,14.7,26.82,1.3216,5.403,0.871,396.9,13.4
403,4.0974,19.58,100.0,14.7,26.42,1.4118,5.468,0.871,396.9,15.6
403,2.77974,19.58,97.8,14.7,29.29,1.3459,4.903,0.871,396.9,11.8
403,2.37934,19.58,100.0,14.7,27.8,1.4191,6.13,0.871,172.91,13.8
403,2.73397,19.58,94.9,14.7,21.45,1.5257,5.597,0.871,351.85,15.4
403,1.49632,19.58,100.0,14.7,13.28,1.5916,5.404,0.871,341.6,19.6
403,2.14918,19.58,98.5,14.7,15.79,1.6232,5.709,0.871,261.95,19.4
403,1.41385,19.58,96.0,14.7,15.12,1.7494,6.129,0.871,321.02,17.0
403,2.44668,19.58,94.0,14.7,16.14,1.7364,5.272,0.871,88.63,13.1
403,1.34284,19.58,100.0,14.7,6.43,1.7573,6.066,0.605,353.89,24.3
403,1.42502,19.58,100.0,14.7,7.39,1.7659,6.51,0.871,364.31,23.3
403,1.27346,19.58,92.6,14.7,5.5,1.7984,6.25,0.605,338.92,27.0
403,1.46336,19.58,90.8,14.7,1.73,1.9709,7.489,0.605,374.43,50.0
403,1.83377,19.58,98.2,14.7,1.92,2.0407,7.802,0.605,389.61,50.0
403,2.24236,19.58,91.8,14.7,11.64,2.422,5.854,0.605,395.11,22.7
403,2.924,19.58,93.0,14.7,9.81,2.2834,6.101,0.605,240.16,25.0
403,2.01019,19.58,96.2,14.7,3.7,2.0459,7.929,0.605,369.3,50.0
403,2.3004,19.58,96.1,14.7,11.1,2.1,6.319,0.605,297.09,23.8
403,2.44953,19.58,95.2,14.7,11.32,2.2625,6.402,0.605,330.04,22.3
403,1.20742,19.58,94.6,14.7,14.43,2.4259,5.875,0.605,292.29,17.4
403,2.3139,19.58,97.3,14.7,12.03,2.3887,5.88,0.605,348.13,19.1
296,0.13914,4.05,88.5,16.6,14.69,2.5961,5.572,0.51,396.9,23.1
296,0.08447,4.05,68.7,16.6,9.64,2.7019,5.859,0.51,393.23,22.6
296,0.06664,4.05,33.1,16.6,5.33,3.1323,6.546,0.51,390.96,29.4
296,0.07022,4.05,47.2,16.6,10.11,3.5549,6.02,0.51,393.23,23.2
296,0.06642,4.05,74.4,16.6,6.92,2.9153,6.86,0.51,391.27,29.9
193,0.0578,2.46,58.4,17.8,5.04,2.829,6.98,0.488,396.9,37.2
193,0.06588,2.46,83.3,17.8,7.56,2.741,7.765,0.488,395.56,39.8
193,0.06888,2.46,62.2,17.8,9.45,2.5979,6.144,0.488,396.9,36.2
193,0.09103,2.46,92.2,17.8,4.82,2.7006,7.155,0.488,394.12,37.9
193,0.08308,2.46,89.8,17.8,13.98,2.9879,5.604,0.488,391.0,26.4
193,0.06047,2.46,68.8,17.8,13.15,3.2797,6.153,0.488,387.11,29.6
398,0.07875,3.44,41.1,15.2,6.68,3.7886,6.782,0.437,393.87,32.0
398,0.12579,3.44,29.1,15.2,4.56,4.5667,6.556,0.437,382.84,29.8
398,0.0837,3.44,38.9,15.2,5.39,4.5667,7.185,0.437,396.9,34.9
398,0.09068,3.44,21.5,15.2,5.1,6.4798,6.951,0.437,377.68,37.0
265,0.01439,2.93,18.8,15.6,4.38,6.2196,6.604,0.401,376.7,29.1
255,0.01381,0.46,32.0,14.4,2.97,5.6484,7.875,0.422,394.23,50.0
329,0.04666,1.52,36.6,12.6,8.61,7.309,7.107,0.404,354.31,30.3
329,0.03768,1.52,38.3,12.6,6.62,7.309,7.274,0.404,392.2,34.6
402,0.0315,1.47,15.3,17.0,4.56,7.6534,6.975,0.403,396.9,34.9
402,0.01778,1.47,13.9,17.0,4.45,7.6534,7.135,0.403,384.3,32.9
348,0.03445,2.03,38.4,14.7,7.43,6.27,6.162,0.415,393.77,24.1
348,0.02177,2.03,15.7,14.7,3.11,6.27,7.61,0.415,395.38,42.3
224,0.0351,2.68,33.2,14.7,3.81,5.118,7.853,0.4161,392.78,48.5
224,0.02009,2.68,31.9,14.7,2.88,5.118,8.034,0.4161,390.55,50.0
277,0.13587,10.59,59.1,18.6,14.66,4.2392,6.064,0.489,381.32,24.4
277,0.43571,10.59,100.0,18.6,23.09,3.875,5.344,0.489,396.9,20.0
277,0.37578,10.59,88.6,18.6,23.98,3.665,5.404,0.489,395.24,19.3
277,0.21719,10.59,53.8,18.6,16.03,3.6526,5.807,0.489,390.94,22.4
277,0.14052,10.59,32.3,18.6,9.38,3.9454,6.375,0.489,385.81,28.1
277,0.28955,10.59,9.8,18.6,29.55,3.5875,5.412,0.489,348.93,23.7
276,0.0456,13.89,56.0,16.4,13.51,3.1121,5.888,0.55,392.8,23.3
276,0.07013,13.89,85.1,16.4,9.69,3.4211,6.642,0.55,392.78,28.7
276,0.11069,13.89,93.8,16.4,17.92,2.8893,5.951,0.55,396.9,21.5
307,0.35809,6.2,88.5,17.4,9.71,2.8617,6.951,0.507,391.7,26.7
307,0.40771,6.2,91.3,17.4,21.46,3.048,6.164,0.507,395.24,21.7
307,0.62356,6.2,77.7,17.4,9.93,3.2721,6.879,0.507,390.39,27.5
307,0.6147,6.2,80.8,17.4,7.6,3.2721,6.618,0.507,396.9,30.1
307,0.31533,6.2,78.3,17.4,4.14,2.8944,8.266,0.504,385.05,44.8
307,0.52693,6.2,83.0,17.4,4.63,2.8944,8.725,0.504,382.0,50.0
307,0.41238,6.2,79.9,17.4,6.36,3.2157,7.163,0.504,372.08,31.6
307,0.537,6.2,68.1,17.4,11.65,3.6715,5.981,0.504,378.35,24.3
307,0.46296,6.2,76.9,17.4,5.25,3.6715,7.412,0.504,376.14,31.7
307,0.57529,6.2,73.3,17.4,2.47,3.8384,8.337,0.507,385.91,41.7
307,0.44791,6.2,66.5,17.4,8.05,3.6519,6.726,0.507,360.2,29.0
307,0.33045,6.2,61.5,17.4,10.88,3.6519,6.086,0.507,376.75,24.0
307,0.51183,6.2,71.6,17.4,4.73,4.148,7.358,0.507,390.07,31.5
300,0.09252,4.93,42.2,16.6,7.37,6.1899,6.606,0.428,383.78,23.3
300,0.1029,4.93,52.9,16.6,11.22,7.0355,6.358,0.428,372.75,22.2
300,0.12757,4.93,7.8,16.6,5.19,7.0355,6.393,0.428,374.71,23.7
330,0.20608,5.86,76.5,19.1,12.5,7.9549,5.593,0.431,372.49,17.6
330,0.33983,5.86,34.9,19.1,9.16,8.0555,6.108,0.431,390.18,24.3
330,0.19657,5.86,79.2,19.1,10.15,8.0555,6.226,0.431,376.14,20.5
330,0.16439,5.86,49.1,19.1,9.52,7.8265,6.433,0.431,374.71,24.5
330,0.19073,5.86,17.5,19.1,6.56,7.8265,6.718,0.431,393.74,26.2
330,0.1403,5.86,13.0,19.1,5.9,7.3967,6.487,0.431,396.28,24.4
330,0.21409,5.86,8.9,19.1,3.59,7.3967,6.438,0.431,377.07,24.8
330,0.08221,5.86,6.8,19.1,3.53,8.9067,6.957,0.431,386.09,29.6
330,0.36894,5.86,8.4,19.1,3.54,8.9067,8.259,0.431,396.9,42.8
315,0.03548,3.64,19.1,16.4,9.25,9.2203,5.876,0.392,395.18,20.9
244,0.01538,3.75,34.2,15.9,3.11,6.3361,7.454,0.394,386.34,44.0
264,0.61154,3.97,86.9,13.0,5.12,1.801,8.704,0.647,389.7,50.0
264,0.66351,3.97,100.0,13.0,7.79,1.8946,7.333,0.647,383.29,36.0
264,0.65665,3.97,100.0,13.0,6.9,2.0107,6.842,0.647,391.93,30.1
264,0.54011,3.97,81.8,13.0,9.59,2.1121,7.203,0.647,392.8,33.8
264,0.53412,3.97,89.4,13.0,7.26,2.1398,7.52,0.647,388.37,43.1
264,0.82526,3.97,94.5,13.0,11.25,2.0788,7.327,0.647,393.42,31.0
264,0.55007,3.97,91.6,13.0,8.1,1.9301,7.206,0.647,387.89,36.5
264,0.76162,3.97,62.8,13.0,10.45,1.9865,5.56,0.647,392.4,22.8
264,0.57834,3.97,67.0,13.0,7.44,2.4216,8.297,0.575,384.54,50.0
264,0.5405,3.97,52.6,13.0,3.16,2.872,7.47,0.575,390.3,43.5
223,0.09065,6.96,61.5,18.6,13.65,3.9175,5.92,0.464,391.34,20.7
223,0.29916,6.96,42.1,18.6,13.0,4.429,5.856,0.464,388.65,21.1
223,0.1146,6.96,58.7,18.6,7.73,3.9175,6.538,0.464,394.96,24.4
223,0.22188,6.96,51.8,18.6,6.58,4.3665,7.691,0.464,390.77,35.2
254,0.05644,6.41,32.9,17.6,3.53,4.0776,6.758,0.447,396.9,32.4
254,0.09604,6.41,42.8,17.6,2.98,4.2673,6.854,0.447,396.9,32.0
254,0.10469,6.41,49.0,17.6,6.05,4.7872,7.267,0.447,389.25,33.2
254,0.07978,6.41,32.1,17.6,7.19,4.1403,6.482,0.447,396.9,29.1
216,0.21038,3.33,32.2,14.9,4.85,4.1007,6.812,0.4429,396.9,35.1
216,0.03578,3.33,64.5,14.9,3.76,4.6947,7.82,0.4429,387.31,45.4
216,0.06129,3.33,49.7,14.9,3.01,5.2119,7.645,0.4429,377.07,46.0
198,0.01501,1.21,24.8,13.6,3.16,5.885,7.923,0.401,395.52,50.0
285,0.00906,2.97,20.8,15.3,7.85,7.3073,7.088,0.4,394.72,32.2
300,0.01096,2.25,31.9,15.3,8.23,7.3073,6.453,0.389,394.72,22.0
293,0.03871,5.32,31.3,16.6,7.14,7.3172,6.209,0.405,396.9,23.2
293,0.04297,5.32,22.9,16.6,9.51,7.3172,6.565,0.405,371.72,24.8
245,0.03502,4.95,27.9,19.2,3.33,5.1167,6.861,0.411,396.9,28.5
245,0.07886,4.95,27.7,19.2,3.56,5.1167,7.148,0.411,396.9,37.3
289,0.08265,13.92,18.4,16.0,8.58,5.5027,6.127,0.437,396.9,23.9
289,0.12932,13.92,31.1,16.0,6.27,5.9604,6.678,0.437,396.9,28.6
289,0.05372,13.92,51.0,16.0,7.39,5.9604,6.549,0.437,392.85,27.1
358,0.06466,2.24,20.1,14.8,4.97,7.8278,6.345,0.4,368.24,22.5
358,0.05561,2.24,10.0,14.8,4.74,7.8278,7.041,0.4,371.58,29.0
358,0.04417,2.24,47.4,14.8,6.07,7.8278,6.871,0.4,390.86,24.8
222,0.05515,2.18,41.1,18.4,6.93,4.022,7.236,0.472,393.68,36.1
222,0.07503,2.18,71.9,18.4,6.47,3.0992,7.42,0.472,396.9,33.4
222,0.04932,2.18,70.3,18.4,7.53,3.1827,6.849,0.472,396.9,28.2
304,0.49298,9.9,82.5,18.4,4.54,3.3175,6.635,0.544,396.9,22.8
304,0.3494,9.9,76.7,18.4,9.97,3.1025,5.972,0.544,396.24,20.3
304,2.63548,9.9,37.8,18.4,12.64,2.5194,4.973,0.544,350.45,16.1
304,0.79041,9.9,52.8,18.4,5.98,2.6403,6.122,0.544,396.9,22.1
304,0.26169,9.9,90.4,18.4,11.72,2.834,6.023,0.544,396.3,19.4
304,0.26938,9.9,82.8,18.4,7.9,3.2628,6.266,0.544,393.39,21.6
304,0.3692,9.9,87.3,18.4,9.28,3.6023,6.567,0.544,395.69,23.8
304,0.25356,9.9,77.7,18.4,11.5,3.945,5.705,0.544,396.42,16.2
304,0.24522,9.9,71.7,18.4,15.94,4.0317,5.782,0.544,396.9,19.8
304,0.40202,9.9,67.2,18.4,10.36,3.5325,6.382,0.544,395.21,23.1
304,0.47547,9.9,58.8,18.4,12.73,4.0019,6.113,0.544,396.23,21.0
287,0.1676,7.38,52.3,19.6,7.2,4.5404,6.426,0.493,396.9,23.8
287,0.18159,7.38,54.3,19.6,6.87,4.5404,6.376,0.493,396.9,23.1
287,0.35114,7.38,49.9,19.6,7.7,4.7211,6.041,0.493,396.9,20.4
287,0.28392,7.38,74.3,19.6,11.74,4.7211,5.708,0.493,391.13,18.5
287,0.34109,7.38,40.1,19.6,6.12,4.7211,6.415,0.493,396.9,25.0
287,0.19186,7.38,14.7,19.6,5.08,5.4159,6.431,0.493,393.68,24.6
287,0.30347,7.38,28.9,19.6,6.15,5.4159,6.312,0.493,396.9,23.0
287,0.24103,7.38,43.7,19.6,12.79,5.4159,6.083,0.493,396.9,22.2
430,0.06617,3.24,25.8,16.9,9.97,5.2146,5.868,0.46,382.44,19.3
430,0.06724,3.24,17.2,16.9,7.34,5.2146,6.333,0.46,375.21,22.6
304,0.05023,6.06,28.4,16.9,12.43,6.6407,5.706,0.4379,394.02,17.1
224,0.05083,5.19,38.1,20.2,5.68,6.4584,6.316,0.515,389.71,22.2
224,0.03738,5.19,38.5,20.2,6.75,6.4584,6.31,0.515,389.4,20.7
224,0.03961,5.19,34.5,20.2,8.01,5.9853,6.037,0.515,396.9,21.1
224,0.03427,5.19,46.3,20.2,9.8,5.2311,5.869,0.515,396.9,19.5
224,0.03041,5.19,59.6,20.2,10.56,5.615,5.895,0.515,394.81,18.5
224,0.03306,5.19,37.3,20.2,8.51,4.8122,6.059,0.515,396.14,20.6
224,0.05497,5.19,45.4,20.2,9.74,4.8122,5.985,0.515,396.9,19.0
224,0.06151,5.19,58.5,20.2,9.29,4.8122,5.968,0.515,396.9,18.7
284,0.01301,1.52,49.3,15.5,5.49,7.0379,7.241,0.442,394.74,32.7
422,0.02498,1.89,59.7,15.9,8.65,6.2669,6.54,0.518,389.96,16.5
370,0.02543,3.78,56.4,17.6,7.18,5.7321,6.696,0.484,396.9,23.9
352,0.03113,4.39,48.5,18.8,10.53,8.0136,6.014,0.442,385.64,17.5
352,0.06162,4.39,52.3,18.8,12.67,8.0136,5.898,0.442,364.61,17.2
351,0.0187,4.15,27.7,17.9,6.36,8.5353,6.516,0.429,392.43,23.1
280,0.01501,2.01,29.7,17.0,5.99,8.344,6.635,0.435,390.94,24.5
411,0.0795,1.69,35.9,18.3,5.49,10.7103,6.579,0.411,370.78,24.1
411,0.07244,1.69,18.5,18.3,7.79,10.7103,5.884,0.411,392.33,18.6
187,0.01709,2.02,36.1,17.0,4.5,12.1265,6.728,0.41,384.46,30.1
334,0.04301,1.91,21.9,22.0,8.05,10.5857,5.663,0.413,382.8,18.2
666,8.98296,18.1,97.4,20.2,17.6,2.1222,6.212,0.77,377.73,17.8
666,3.8497,18.1,91.0,20.2,13.27,2.5052,6.395,0.77,391.34,21.7
666,5.20177,18.1,83.4,20.2,11.48,2.7227,6.127,0.77,395.43,22.7
666,4.54192,18.1,88.0,20.2,7.79,2.5182,6.398,0.77,374.56,25.0
666,3.83684,18.1,91.1,20.2,14.19,2.2955,6.251,0.77,350.65,19.9
666,3.67822,18.1,96.2,20.2,10.19,2.1036,5.362,0.77,380.79,20.8
666,4.22239,18.1,89.0,20.2,14.64,1.9047,5.803,0.77,353.04,16.8
666,3.47428,18.1,82.9,20.2,5.29,1.9047,8.78,0.718,354.55,21.9
666,4.55587,18.1,87.9,20.2,7.12,1.6132,3.561,0.718,354.7,27.5
666,3.69695,18.1,91.4,20.2,14.0,1.7523,4.963,0.718,316.03,21.9
666,6.53876,18.1,97.5,20.2,2.96,1.2024,7.016,0.631,392.05,50.0
666,9.2323,18.1,100.0,20.2,9.53,1.1691,6.216,0.631,366.15,50.0
666,8.26725,18.1,89.6,20.2,8.88,1.1296,5.875,0.668,347.88,50.0
666,11.1081,18.1,100.0,20.2,34.77,1.1742,4.906,0.668,396.9,13.8
666,18.4982,18.1,100.0,20.2,37.97,1.137,4.138,0.668,396.9,13.8
666,9.82349,18.1,98.8,20.2,21.24,1.358,6.794,0.671,396.9,13.3
666,23.6482,18.1,96.2,20.2,23.69,1.3861,6.38,0.671,396.9,13.1
666,17.8667,18.1,100.0,20.2,21.78,1.3861,6.223,0.671,393.74,10.2
666,88.9762,18.1,91.9,20.2,17.21,1.4165,6.968,0.671,396.9,10.4
666,15.8744,18.1,99.1,20.2,21.08,1.5192,6.545,0.671,396.9,10.9
666,9.18702,18.1,100.0,20.2,23.6,1.5804,5.536,0.7,396.9,11.3
666,20.0849,18.1,91.2,20.2,30.63,1.4395,4.368,0.7,285.83,8.8
666,16.8118,18.1,98.1,20.2,30.81,1.4261,5.277,0.7,396.9,7.2
666,24.3938,18.1,100.0,20.2,28.28,1.4672,4.652,0.7,396.9,10.5
666,22.5971,18.1,89.5,20.2,31.99,1.5184,5.0,0.7,396.9,7.4
666,8.15174,18.1,98.9,20.2,20.85,1.7281,5.39,0.7,396.9,11.5
666,6.96215,18.1,97.0,20.2,17.11,1.9265,5.713,0.7,394.43,15.1
666,5.29305,18.1,82.5,20.2,18.76,2.1678,6.051,0.7,378.38,23.2
666,11.5779,18.1,97.0,20.2,25.68,1.77,5.036,0.7,396.9,9.7
666,8.71675,18.1,98.8,20.2,17.12,1.7257,6.471,0.693,391.98,13.1
666,5.87205,18.1,96.0,20.2,19.37,1.6768,6.405,0.693,396.9,12.5
666,7.67202,18.1,98.9,20.2,19.92,1.6334,5.747,0.693,393.1,8.5
666,38.3518,18.1,100.0,20.2,30.59,1.4896,5.453,0.693,396.9,5.0
666,9.91655,18.1,77.8,20.2,29.97,1.5004,5.852,0.693,338.16,6.3
666,25.0461,18.1,100.0,20.2,26.77,1.5888,5.987,0.693,396.9,5.6
666,9.59571,18.1,100.0,20.2,20.31,1.639,6.404,0.693,376.11,12.1
666,24.8017,18.1,96.0,20.2,19.77,1.7028,5.349,0.693,396.9,8.3
666,41.5292,18.1,85.4,20.2,27.38,1.6074,5.531,0.693,329.46,8.5
