Number,P1.1,P1.2,P1.3,P2.1,P2.2.1,P2.2.2,P2.2.3,P2.2.4,P1 - Total,P2 - Total,Overall,Proj. Overall,P1.1. - Comments,P1.2. - Comments,P1.3. - Comments,P2.1. - Comments,P2.2.1. - Comments,P2.2.2. - Comments,P2.2.3. - Comments,P2.2.4. - Comments
c1821017,5.92,7.80,8.00,5.64,0.45,0.25,3.64,0.25,21.72,10.23,31.95,45.64,1.1.1. returned object type error. 1.1.3. wrong logic,1.2.3.and 1.2.4. use wrong logic.,Well done,"2.1.1. dropping columns not fully correct. 2.1.2. time conversions not correct. 2.1.3. wrong logic. 2.1.4. has various problems (missing labels, title and subplotting) but a good try",2.2.1. no code provided or incomplete set of codes.,2.2.2. no code provided,2.2.3.1. calling global variable in funtion. It should be function argument. Also training and test partition is incorrect.,No code submitted
c21036048,9.00,11.10,8.00,6.38,4.58,1.25,8.28,4.50,28.10,24.99,53.09,75.84,1.1. Well done,1.2. Well done.,Well done,2.1.3. wrong implementation 2.1.4. a bit complicated coding but a good try. No docstrings,"2.2.1.1. despite correct predictors, function uses a global variable it should be the function argument. 2.2.1.2. not correct poly models returned. Same global variable issue is also the case here.",2.2.2. wrong implementation.,2.2.3.2. prediction test data partition is incorrect.,Well done.
c2062079,8.04,10.50,7.00,6.38,1.80,3.00,9.00,3.50,25.54,23.68,49.22,70.31,1.1. Well done,Well done.,Maximum word limit violated. A shorter version would make it better.,2.1.3. wrong implementation 2.1.4. a bit complicated coding but a good try. No docstrings,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2. this function itself is ok,Well done.,Accuracy values are integers and unneccessary ROC curves plotted. 
c21098366,7.36,10.50,5.00,8.12,9.00,1.25,10.00,4.25,22.86,32.62,55.48,79.26,1.1.3. use wrong logic,Well done.,Good try but should have been supported with various references.,2.1.4. wrong calculations,2.2.1. well done,2.2.2. wrong implementation.,Well done.,Well done but ROC curves are uncessary.
c21119371,9.52,9.42,6.20,11.00,6.84,3.40,8.32,4.25,25.14,33.81,58.95,84.21,1.1. Well done,1.2.3. only 1 output returned. But a good try overall.,A good try but peer-revewed references problem,2.1. Well done,2.2.1. correct solution with non-ideal coding. But a good try.,"2.2.2. corect solution with non-ideal coding. But a good try. Also instead of using function arguments team1 and team2, the function uses directly 'Man City' and 'Everton'. Variables should be used.","2.2.3.1. pred and target defined inside of the function. Since they are function arguments, they should be defined in the global scope and then passed into the function as arguments. Basic function argument rule violation.",Well done but ROC curves are uncessary.
c21105983,9.04,11.10,5.00,9.56,1.05,0.25,10.00,5.00,25.14,25.86,51.00,72.86,1.1. Well done,1.2. Well done.,Good try but should have been supported with various references.,2.1.2. and 2.1.4. non-ideal coding but a good try overall.,2.2.1. fully wrong implementation and missing code.,2.2.2 fully wrong implementation or incomplete code.,Well done.,Well done.
c21042563,6.88,9.00,4.60,6.60,3.05,0.25,7.00,4.25,20.48,21.15,41.63,59.47,1.1.1. returned object type error. 1.1.2. some entries in the returned object does not have <title> tag. 1.1.3.non-ideal coding,1.2.4. uses wrong logic.,Maximum word limit violated. A shorter version with peer-reviewed references would make it better.,"2.1.1. wrong implementation. 2.1.3. implementation is correct but should have been checked with the example figure. Thus, due to the problem in 2.1.1. wrong figure returned. 2.1.4. some calculations are wrong",2.2.1.1. correct with a complicated coding. 2.2.1.2. no code submitted,2.2.2. no code submitted,2.2.3. a good try with non-ideal coding.,Well done but ROC curves are uncessary.
c21088517,9.04,11.10,5.00,9.56,1.80,0.40,10.00,5.00,25.14,26.76,51.90,74.14,1.1. Well done,1.2. Well done.,Good try but should have been supported with various references.,2.1.2. and 2.1.4. non-ideal coding but a good try overall.,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2. no code submitted,Well done.,Well done.
c21119910,8.32,12.00,6.40,0.55,0.45,0.25,0.50,0.25,26.72,2.00,28.72,41.03,1.1.3. uses wrong logic,1.2. Well done.,A good try but could be supported with peer-reviewed references instead of web-pages.,No code submitted,No code submitted,2.2.2. no code submitted,2.2.3. no code provided or violated usage of not allowed functions.,No code submitted
c21084626,8.28,7.20,2.40,5.26,4.02,3.30,5.40,4.25,17.88,22.23,40.11,57.30,1.1. Well done,1.2.4. uses wrong logic whilst others have non-ideal coding.,Very shallow discussion and lack of peer reviewed reference usage.,2.1. all codes are non-ideal with many for loops and if statement usages. 2.1.1. values are float. 2.1.4. no function created so plotted figures are unacceptable.,2.2.1.2. not-allowed function usage,2.2.2 good try with non-ideal coding.,2.2.3..1 non-ideal coding. 2.2.3.2. fully wrong implementation.,Well done but ROC curves are uncessary.
c21099797,8.28,6.00,5.00,4.60,4.02,3.30,5.40,4.25,19.28,21.57,40.85,58.36,1.1. Well done,1.2.3. and 1.2.4. use wrong logic.,Good try but should have been supported with various references.,2.1. all codes are non-ideal with many for loops and if statement usages. 2.1.1. values are float. 2.1.4. calculations are wrong,2.2.1.2. not-allowed function usage,2.2.2 good try with non-ideal coding.,2.2.3..1 non-ideal coding. 2.2.3.2. fully wrong implementation.,Well done but ROC curves are uncessary.
c21120688,8.32,9.45,6.12,8.92,5.24,3.80,10.00,5.00,23.89,32.96,56.85,81.21,1.1.3. returns wrong enriched titles.,1.2.3. has some different outputs but a good try overall.,A good try but peer-revewed references problem,2.1.2. correct operation but non ideal for loops and if statements. 2.1.4. correct operation but non ideal for loops and if statements. Also lines should be plotted with markers. ,"2.2.1.1. operation does the job, but a bit more complicated way. 2.2.1.2. poly regression operations converges to wrong polynomial regression. Potentially wrong and highly complicated.",2.2.2. corect solution with non-ideal coding. But a good try.,Well done.,Well done.
c21112979,9.20,10.20,5.40,9.24,7.92,5.00,8.88,4.70,24.80,35.74,60.54,86.49,1.1.3. has some small problems but not serious enough.,1.2.3. 1 extra output returned but a good try overall.,Good try but should have been supported with various other references.,"2.1.1. not removing HY, and other columns. 2.1.2. and 2.1.4. correct operation but non ideal for loops and if statements.","2.2.1. operation does the job, but a bit more complicated way.",Well done.,2.2.3.1. conversion of FTR should have been done outside of the function.,Well done but ROC curves are uncessary.
c21059234,7.28,7.50,4.08,7.80,1.80,2.60,8.40,5.00,18.86,25.60,44.46,63.51,1.1. A good try without docstrings.,1.1.2. uses a wrong logic and thus the return is incorrect.,Good try but should have been supported with various other references.,2.1.2. and 2.1.4. non-ideal coding. General: No documentation.,2.2.1.1. Operation looks generally ok but it returns somehow wrong variables. .2.1.2. poly regression operations converges to wrong polynomial regression. Potentially wrong and highly complicated.,"2.2.2. corect solution with non-ideal coding. But a good try. Also returned results are floats, should have been converted (no need to mention in the question) to integer since the outcome is number of goals. ",2.2.3. Good effort without documentation,Well done.
c1621012,7.84,10.14,8.00,10.52,8.40,3.40,9.52,5.00,25.98,36.84,62.82,89.74,1.1.3. return an error.,1.2.3. extra outputs returned but a good try overall.,Well Done.,2.1.2. non-ideal coding.,"2.2.1.1. operation does the job, but a bit more complicated way.","2.2.2. corect solution with non-ideal coding. But a good try. Also returned results are floats, should have been converted (no need to mention in the question) to integer since the outcome is number of goals. ","2.2.3.2. manipulating df_pred in the function. It might be ok for a general code, but adding constant without checking whether a ""const"" or ""intercept"" column exists or not is not an ideal approach. ",Well done.
c21122194,8.32,9.60,5.00,5.88,4.12,2.60,7.00,2.50,22.92,22.10,45.02,64.31,1.1.3. return an error.,Well done.,Good try but should have been supported with various references.,2.1.2. and 2.1.4 non-ideal coding whilst 2.1.4 also has wrong calculations. No documentation.,2.2.1.1. non-ideal coding with correct returns. 2.2.1.2. wrong implementation.,2.2.2. correct implementation but uses manual manipulation for selected match.,2.2.3. a good try with non-ideal coding.,Wrong calculation of metrics with a logical flow of coding.
c2028275,4.92,6.90,3.00,3.16,1.05,0.25,0.50,0.25,14.82,5.21,20.03,28.61,1.1.2. uses wrong logic and 1.1.3. returns error.,1.2.1. and 1.2.4. use wrong logic,Maximum word limit violated. A shorter version with peer-reviewed references would make it better.,2.1.1. dropping columns problem. 2.1.3 and 2.1.4 wrong logic utilised.,2.2.1. fully wrong implementation and missing code.,2.2.2. no code submitted,2.2.3. no code provided or violated usage of not allowed functions.,No code submitted
c2053922,10.00,11.10,6.40,10.04,9.00,3.40,10.00,5.00,27.50,37.44,64.94,92.77,Well done,Well done.,A good try but could be supported with peer-reviewed references instead of web-pages.,2.1. Well done,Well done.,"2.2.2. Manually manipulating teams in the function, instead of using team1 and team2 arguments.",Well done.,Well done.
c21012740,9.05,8.55,6.08,9.32,9.00,3.40,10.00,5.00,23.68,36.72,60.40,86.28,A good try. 1.1.3 might be written much more simpler.,1.2.3. outputs not matching with correct results. Also all pandas questions can be easily created with pandas only without for loops. ,A good try but could be supported with peer-reviewed references instead of web-pages.,2.1.1. correct operation but non ideal for loops. 2.1.4. correct operation with a highly complex coding. Function calculates xGs for all the teams and then picks randomly a team. But the operation should have been the reverse of this.,Well done.,2.2.2. polynomial prediction has a problem. It returns 3-0. ,Well done.,Well done.
c21117781,7.50,8.97,5.20,7.66,1.48,0.40,8.16,4.50,21.67,22.20,43.87,62.67,"1.1.3. Requires some extra definitions, and returned enriched titles has different types. Also first two functions does have docsting definitions outside of def keyword.","1.2.1. returned output is a dataframe not a dictionary. General:for loops when pandas would do, too much code",A good try but could be supported with more peer-reviewed and other references.,"2.1.1. and 2.1.2. non-ideal coding. 2.1.4. no titles, wrong ylabels. No subplots created, instead two consecutive plots shown. Also coding is highly complicated, and non-ideal.",2.2.1. wrong predictors returned. There is a logical problem in the algorithm. 2.2.1.2. function has indentation error and thus returns error. Clear violation of rules.,"2.2.2. incomplete code, indentation error and function does not return a variable.",2.2.3. Good effort.,Well done.
c2067755,9.04,8.70,8.00,8.28,1.80,3.00,6.40,5.00,25.74,24.48,50.22,71.74,1.1.1. has returned object type error,1.2.4. uses wrong logic.,Well Done.,"2.1.2., 2.1.3 and 2.1.4 non-ideal coding. Also 2.1.4. does not have axis labels.",2.2.1.1. wrong predictors returned. There is a logical problem in the algorithm. 2.2.1.2. wrong poly models returned,2.2.2. this function itself is ok,2.2.3. no constant added to the models. Also training and test samples are not selected randomly. ,Well done.
c21041593,6.84,8.85,5.00,3.98,0.45,0.25,0.50,0.25,20.69,5.43,26.12,37.31,1.1.1. return type is wrong. 1.1.3. lowercase problem in enriched titles. Quality: No docstrings,1.2.4. wrong logic used.,Good try but should have been supported with various references.,"2.1.1. and 2.1.2. non-ideal coding. 2.1.3. fully wrong, no function. 2.1.4. No subplots created, instead two consecutive plots shown. Also coding is highly complicated, and non-ideal. Team is not randomly selected and fixed to Chelsea.",2.2.1. very limited amount of code provided and not enough to mark.,"2.2.2. incomplete code, indentation error and function does not return a variable.",2.2.3. incomplete code impossible to run.,
c1999659,8.32,8.85,5.00,8.30,1.32,2.20,5.48,1.46,22.17,18.76,40.93,58.47,1.1.3. uses wrong logic.,1.2.4. wrong logic used.,Good try but should have been supported with various references.,"2.1.4. Coding is highly complicated, and non-ideal. Team is not randomly selected and fixed to Chelsea. No line markers used. ",2.2.1. wrong predictors returned. There is a logical problem in the algorithm. 2.2.1.2. function never stops (5+ mins tried then halted!). Potentially an infinite loop problem. Clear violation of rules.,2.2.2. Solution looks feasible with non-ideal coding. Also manually manipulating line number 376. it should be found via team1 and team2 variables.,2.2.3. codes created. But student did not create training and test samples. No election of columns given in the question. 2.2.3.1. conversion of FTR should have been done outside of the function. When tried with my test code it returns error. FTR conversion code is not correct.,"2.2.4. MSE calculation is wrong, dataframe calculation is wrong. There is a df1 in the function which is not defined. "
c2028266,4.76,8.37,5.00,6.54,1.80,2.20,7.88,4.10,18.13,22.52,40.65,58.07,1.1.2. and 1.1.3. do not return the expected outputs.,1.2.3. only 1 output returned. Other solutions have quite a lot of for loops instead of solving via pandas directly.,Good try but should have been supported with various references.,"2.1.2. non-ideal coding. 2.1.3. Wrong Print message. Dark background, wrong return variable. 2.1.4. No subplots created, instead two consecutive plots shown. Also coding is highly complicated, and non-ideal. Potentially the first Xg1 calculation is wrong. ",2.2.1.1. wrong predictors returned. There is a logical problem in the algorithm. 2.2.1.2. poly regression is totally diverges from the correct solution.,"2.2.2. function somehow does the job but there are various problems. Firstly team1 and team2 variables not used at all. Manually setting teams to Man City and Everton. Also poly result (even though it is wrong) is in float type, should be integer.",2.2.3.1. conversion of FTR should have been done outside of the function.,"2.2.4. Accuracy is in decimals, e.g. 0.89 should be 89%"
c21126212,5.38,8.40,2.40,8.04,1.32,0.25,0.50,0.25,16.18,10.36,26.54,37.91,1.1.3. use wrong logic,1.2. Generally good try but some solutions includes for loops instead of directly solving via pandas (refer to the name of the question). 1.2.3. returns only 1 outcome.,Very shallow discussion and lack of peer reviewed reference usage.,2.1. all codes are non-ideal with many for loops and if statement usages. 2.1.4. no axis labels,2.2.1. wrong predictors returned. There is a logical problem in the algorithm. 2.2.1.2. function never stops (5+ mins tried then halted!). Potentially an infinite loop problem. Clear violation of rules.,2.2.2. no code submitted,2.2.3. no code provided or violated usage of not allowed functions.,No code submitted
c21103917,6.44,9.30,5.60,9.32,7.92,5.00,8.88,5.00,21.34,36.12,57.46,82.09,1.1.2. return fully empty lists.,1.2. all the solutions has much for usages instead of solving them directly with pandas.,A good try but could be supported with more references.,"2.1.1., 2.1.2. and 2.1.4. non-ideal coding.","2.2.1. operation does the job, but a bit more complicated way.",Well done.,2.2.3.1. conversion of FTR should have been done outside of the function.,Well done.
c21082686,10.00,9.90,6.76,10.04,9.00,3.40,8.88,5.00,26.66,36.32,62.98,89.97,Well Done.,1.2. even though most of the returns are correct there are loop usages instead of solving directly via pandas. Refer to the name of the question ;),A good try but lower than 500 words.,2.1.4. non-ideal coding.,Well done.,2.2.2. polynomial prediction has a problem. It returns 3-0. ,2.2.3.1. conversion of FTR should have been done outside of the function.,Well done.
c21111199,7.12,7.80,8.00,9.88,5.06,3.00,5.04,0.25,22.92,23.23,46.15,65.93,1.1.1. return type is wrong. 1.1.2. does not return the expected outputs.,1.2.4. wrong logic used.,Well Done.,2.1.1. and 2.1.4. non-ideal coding.,2.2.1.2. no code submitted,Correct opeartion without poly model.,2.2.3.1. works with various problems. 2.2.3.2. returns error.,No code submitted
c2082962,8.08,11.10,5.00,10.04,5.06,0.25,10.00,5.00,24.18,30.35,54.53,77.90,1.1.1. has returned boject type problem,Well done.,Good try but should have been supported with various references.,2.1.4. non-ideal coding.,2.2.1.2. no code submitted,2.2.2. no code submitted,Well done.,Well done.
c1134565,7.22,9.90,4.00,8.46,1.80,1.80,8.88,5.00,21.12,25.94,47.06,67.22,"1.1. Good try with wrong docstring definition. Triple quoted text should be used after def keyword. Otherwise, .__doc__ function returns None. 1.1.2. some returns does not have the <title> keyword.",1.2. Generally good try but some solutions includes for loops instead of directly solving via pandas (refer to the name of the question). 1.2.3. returns only 1 outcome.,Very shallow discussion and lack of peer reviewed reference usage.,"2.1.2. and 2.1.4. non-ideal coding. General: triple quoted text should be used after ""def"" keyword",2.2.1.1. wrong predictors returned. There is a logical problem in the algorithm. 2.2.1.2.returned models are linear models not polynomial.,"2.2.2. function somehow does the job but there are various problems. Firstly the user defined function create_formula not defined! Function returns error. When I fix it, it somehow works, but with wrong predictiors.",2.2.3.1. conversion of FTR should have been done outside of the function.,Well done.
c21092483,6.12,11.10,5.00,8.30,5.64,1.00,8.40,3.75,22.22,27.09,49.31,70.44,"1.1. Good try with wrong docstring definition. Triple quoted text should be used after def keyword. Otherwise, .__doc__ function returns None. 1.1.2. some returns does not have the <title> keyword.",Well done.,Good try but should have been supported with various references.,2.1.1. dropping columns problem. 2.1.4. no axis labels with non-ideal coding. No docstrings,2.2.1.2. poly regression returned models are wrong predictiors. Check summary() if needed.,"2.2.2. Fully wrong logic, also the function returns error.",2.2.3. no documentation.,Well done but ROC curves are uncessary.
c21099593,7.68,7.50,5.00,6.38,4.06,4.50,8.16,4.70,20.18,27.80,47.98,68.54,"Good try with wrong docstring definition. Triple quoted text should be used after def keyword. Otherwise, .__doc__ function returns None. Also includes high number of loops a bit complicated.",1.2.3. outputs not matching with correct results. 1.2.4. wrong logic used.,Good try but should have been supported with various references.,"2.1.3. function calls add_booking_points function in it. It is against the rules should have been set outside. 2.1.4. No subplots created, instead two consecutive plots shown. Also coding and visibility are highly complicated, and non-ideal. General: triple quoted text should be used after ""def"" keyword","2.2.1.1. operation does the job, but a bit more complicated way. Also again calls functions from the question 2.1. - 2.2.1.2. polynomial regression code runs but returns wrong poly models, everytime the higest poly degree becomes the best, but this is not correct.",Well done.,2.2.3.1. FTR conversion non-ideal,Well done but ROC curves are uncessary.
c21112921,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Submission,No Submission.,No Submission.,No submission,No Submission.,No Submission.,No submission,No submission.
c21023148,8.04,7.95,6.80,6.84,5.96,2.60,8.40,4.20,22.79,28.00,50.79,72.56,1.1.3. lowercase problem. And no docstrings,1.2.3. outputs not matching with correct results. 1.2.4. wrong logic used.,Good try but should have been supported with more peer-reviewed references.,"2.1.1., 2.1.2. and 2.1.4. non-ideal coding. 2.1.3. print command should be in the function. General: No documentation",2.2.1.2. does poly solution from another way. Inprinciple it may be correct but not acceptable.,2.2.2. polynomial prediction has a problem. It returns 3-0 for maximum order of 6. should be 4-0. Potentially the different approach used causeing this problem.,Good effort.,Good effort.
c21083478,7.36,9.00,4.00,6.12,3.24,0.25,7.00,4.00,20.36,20.61,40.97,58.53,1.1.2. has some empty string returns,1.2.4. uses wrong logic.,Very shallow discussion and lack of peer reviewed reference usage.,"2.1.1. non-ideal coding. 2.1.2. not-allowed function used. 2.1.3. non-ideal coding, axis label problem. 2.1.4. no subplots, no titles, also xG calculations are wrong, check example figures for Chelsea.","2.2.1. a good documented code, but unfortunately applies wrong logic for both parts, thus the returned predictors and models are wrong. ",2.2.2. no code submitted,2.2.3. a good try with non-ideal coding.,"2.2.4. returns are ok in format, but numbers a bit problematic."
c1845089,9.04,8.40,7.20,7.92,7.92,4.00,10.00,5.00,24.64,34.84,59.48,84.97,Well done,1.2.3. and 1.2.4. use wrong logic.,Well Done. A copule of more peer-reviewed references would make it perfect.,"2.1. Fully correct part but with highly complicated and non-ideal coding. Also great documentation, thanks.","2.2.1. operation does the job, but a bit more complicated way.",2.2.2. good try but manually manipulating Man.City game e.g. entering [6] index.,Well done.,Well done.
c21084078,8.12,7.20,6.00,10.04,7.28,3.80,7.76,1.50,21.32,30.38,51.70,73.86,1.1.3. lowercase problem. ,1.2.3. outputs not matching with correct results. 1.2.4. wrong logic used.,A good try but could be supported with more peer-reviewed references.,"2.1.4. the returned dictionary returns the sums of xGs, but should return array.",2.2.1.2. degrees defined in the function. Also a bit-complex coding,"2.2.2. returned goal values are float, but should be integers",2.2.3.1. FTR conversion done in the funstion. Also pred and target (function arguments) are manipulated in the function. Thus function call becomes redundant.,"ML_estimated function is called within the function, it thus should be a function argument. Error metrics returns wrong results. "
c21102950,3.40,4.95,5.00,3.71,1.80,0.25,5.10,0.25,13.35,11.11,24.46,34.94,1.1. all the functions have some problems,"1.2.1., 1.2.3. and 1.2.4. use wrong logic",Good try but should have been supported with various references.,"2.1.1. no dropping columns 2.1.3. wrong logic used, 2.1.4. no code submitted. No docstrings.","2.2.1. some code provided but lacks of testing codes. When I try my own code, functions return error.",2.2.2. no code submitted,2.2.3.2. no code submitted.,No code submitted
c21017757,5.78,6.81,7.20,7.96,1.80,2.20,7.56,2.60,19.79,22.12,41.91,59.88,1.1.2. output returns nans. 1.1.3. uses a wrong logic and return is not correct.,1.2.1. return wrong fav values. 1.2.3. and 1.2.4. use wrong logic thus the returns are wrong.,Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.4. non-ideal coding. And also line markers are missing. General: no documentation.,2.2.1. Function works for home and away seperately. It should get both variables at the same time and process home and away at the same time. 2.2.1.2. function runs somehow but returned variables are not correct and my test code contonously fails. ,2.2.2. polynomial prediction has a problem. It returns 3-0. ,2.2.3.1. no constant added. Lots of unnecessary lines of code exist.,Calculations use complicated ways. Also Acc values are integers. 
c1888429,8.02,9.21,8.00,8.92,7.92,3.00,9.16,3.08,25.23,32.08,57.31,81.87,1.1. A very good try but a suggestion for the next codes: try to use loops much less than this. Pandas can solve these questions much easier.,1.2.3. only 1 output returned. Again quite a lot of for loops used. Please refer to title that this question is to be solved via pandas ;),Well Done.,2.1.1. drop col step is wrong so the function returns NoneType. 2.1.2. and 2.1.4. non-ideal coding. 2.1.4 also has missing axis labels.,"2.2.1. operation does the job, but a bit more complicated way.",2.2.2. polynomial prediction has a problem. It returns 3-0. also returns are float instead of integer,2.2.3.1. FTR conversion non-ideal,test array has 240 samples instead of 100. test index setting code is wrong.
c1826277,6.36,10.05,6.20,7.00,1.05,0.05,4.20,0.00,22.61,12.30,34.91,49.87,1.1.2. output has spaces. 1.1.3. lowercase not applied. Lots of for loop usages.,1.2.3. outputs not matching with correct results. Also again lots of for loop usages. Please refer to title ;),A good try but could be supported with more peer-reviewed references.,2.1.4. non-ideal coding.and also has missing line markers. General: no documentation.,2.2.1.1. wrong predictors returned. There is a logical problem in the algorithm. 2.2.1.2. no code submitted,No code submitted,2.2.3.1. FTR calcualted in the function. Wrong number of samples (200) selected fotr training. ,No code submitted
c21103765,6.96,5.40,4.00,7.88,1.41,1.00,1.64,2.50,16.36,14.43,30.79,43.99,1.1.1. various non-ideal coding problems throughout,1.2.1. and 1.2.4. use wrong logic. Others have non-ideal coding,Very shallow discussion and lack of peer reviewed reference usage.,2.1. all codes are non-ideal with many for loops and if statement usages. 2.1.4. no random team selection,"2.2.1. some code provided but lacks of testing codes. When I try my own code, functions return error. Also, poly regression code uses not-allowed package imports. ","2.2.2. Fully wrong logic, also the function returns error.","2.2.3. Functions are ok, but there is random selection of training and test data. No constant addition to models, no FTR conversion. These things are also a part of the question, not just sharing the functions. There are various other minor errors as well.",Calculations use complicated ways. Also no testing code created.
c21044240,5.16,6.90,5.00,7.80,4.40,0.25,0.50,0.25,17.06,13.20,30.26,43.23,1.1.1. and 1.1.3. use wrong logic.,most of the parts use wrong logic,Good try but should have been supported with various references.,2.1.3. no axis labels. 2.1.4. non-ideal coding. General: No documentation.,"2.2.1.1. operation does the job, but a bit more complicated way. 2.2.1.2. function uses wrong logic.",2.2.2. no code submitted,2.2.3. no code provided or violated usage of not allowed functions.,No code submitted
c21116945,3.88,4.80,0.40,9.24,1.41,3.05,6.75,2.00,9.08,22.45,31.53,45.04,"1.1.1. returned object type error, 1.1.2. and 1.1.3. wrong logic","1.2.1., 1.2.3. and 1.2.4. use wrong logic",no text,2.1. Good effort without documentation.,"2.2.1. despite the good step by step explanation, all those selection stages should have been in the function. On the other hand, the returned significant variables are incorrect. In 2.2.1.2. a not-allowed function used, so not acceptable.",2.2.2. this function itself is ok. Ignoring the not-allowed function usage#,2.2.3. generally a good try. No constant added to the models. ,No ground truth variable created. Also not allowed functions for MSE and AUC is used. Various other minor errors.
